velocidad_bala,distancia,bala_y,accion
-8.0,210.0,-9.0,0
-8.0,202.0,-9.0,0
-8.0,194.0,-9.0,0
-8.0,186.0,-9.0,0
-8.0,178.0,-9.0,0
-8.0,170.0,-9.0,0
-8.0,162.0,-9.0,0
-8.0,154.0,-9.0,0
-8.0,146.0,-9.0,0
-8.0,138.0,-9.0,0
-8.0,130.0,-9.0,0
-8.0,122.0,-9.0,2
-8.0,114.0,-9.0,2
-8.0,106.0,-9.0,2
-8.0,98.0,-9.0,2
-8.0,90.0,-9.0,2
-8.0,82.0,-9.0,2
-8.0,74.0,-9.0,2
-8.0,66.0,-9.0,2
-8.0,58.0,-9.0,2
-8.0,50.0,-9.0,2
-8.0,42.0,-9.0,2
-8.0,34.0,-9.0,2
-8.0,26.0,-9.0,2
-8.0,18.0,-9.0,2
-8.0,10.0,-9.0,2
-8.0,2.0,-9.0,2
-8.0,6.0,-9.0,2
-8.0,14.0,-9.0,2
-8.0,22.0,-9.0,2
-8.0,30.0,-9.0,2
-8.0,38.0,-9.0,2
-8.0,46.0,-9.0,2
-8.0,54.0,-9.0,2
-8.0,62.0,-9.0,2
-8.0,70.0,-9.0,2
-6.0,964.0,-9.0,0
-6.0,958.0,-9.0,0
-6.0,952.0,-9.0,0
-6.0,946.0,-9.0,0
-6.0,940.0,-9.0,0
-6.0,934.0,-9.0,0
-6.0,928.0,-9.0,0
-6.0,922.0,-9.0,0
-6.0,916.0,-9.0,0
-6.0,910.0,-9.0,0
-6.0,904.0,-9.0,0
-6.0,898.0,-9.0,0
-6.0,892.0,-9.0,0
-6.0,886.0,-9.0,0
-6.0,880.0,-9.0,0
-6.0,874.0,-9.0,0
-6.0,868.0,-9.0,0
-6.0,862.0,-9.0,0
-6.0,856.0,-9.0,0
-6.0,850.0,-9.0,0
-6.0,844.0,-9.0,0
-6.0,838.0,-9.0,0
-6.0,832.0,-9.0,0
-6.0,826.0,-9.0,0
-6.0,820.0,-9.0,0
-6.0,814.0,-9.0,0
-6.0,808.0,-9.0,0
-6.0,802.0,-9.0,0
-6.0,796.0,-9.0,0
-6.0,790.0,-9.0,0
-6.0,784.0,-9.0,0
-6.0,778.0,-9.0,0
-6.0,772.0,-9.0,0
-6.0,766.0,-9.0,0
-6.0,760.0,-9.0,0
-6.0,754.0,-9.0,0
-6.0,748.0,-9.0,0
-6.0,742.0,-9.0,0
-6.0,736.0,-9.0,0
-6.0,730.0,-9.0,0
-6.0,724.0,-9.0,0
-6.0,718.0,-9.0,0
-6.0,712.0,-9.0,0
-6.0,706.0,-9.0,0
-6.0,700.0,-9.0,0
-6.0,694.0,-9.0,0
-6.0,688.0,-9.0,0
-6.0,682.0,-9.0,0
-6.0,676.0,-9.0,0
-6.0,670.0,-9.0,0
-6.0,664.0,-9.0,0
-6.0,658.0,-9.0,0
-6.0,652.0,-9.0,0
-6.0,646.0,-9.0,0
-6.0,640.0,-9.0,0
-6.0,634.0,-9.0,0
-6.0,628.0,-9.0,0
-6.0,622.0,-9.0,0
-6.0,616.0,-9.0,0
-6.0,610.0,-9.0,0
-6.0,604.0,-9.0,0
-6.0,598.0,-9.0,0
-6.0,592.0,-9.0,0
-6.0,586.0,-9.0,0
-6.0,580.0,-9.0,0
-6.0,574.0,-9.0,0
-6.0,568.0,-9.0,0
-6.0,562.0,-9.0,0
-6.0,556.0,-9.0,0
-6.0,550.0,-9.0,0
-6.0,544.0,-9.0,0
-6.0,538.0,-9.0,0
-6.0,532.0,-9.0,0
-6.0,526.0,-9.0,0
-6.0,520.0,-9.0,0
-6.0,514.0,-9.0,0
-6.0,508.0,-9.0,0
-6.0,502.0,-9.0,0
-6.0,496.0,-9.0,0
-6.0,490.0,-9.0,0
-6.0,484.0,-9.0,0
-6.0,478.0,-9.0,0
-6.0,472.0,-9.0,0
-6.0,466.0,-9.0,0
-6.0,460.0,-9.0,0
-6.0,454.0,-9.0,0
-6.0,448.0,-9.0,0
-6.0,442.0,-9.0,0
-6.0,436.0,-9.0,0
-6.0,430.0,-9.0,0
-6.0,424.0,-9.0,0
-6.0,418.0,-9.0,0
-6.0,412.0,-9.0,0
-6.0,406.0,-9.0,0
-6.0,400.0,-9.0,0
-6.0,394.0,-9.0,0
-6.0,388.0,-9.0,0
-6.0,382.0,-9.0,0
-6.0,376.0,-9.0,0
-6.0,370.0,-9.0,0
-6.0,364.0,-9.0,0
-6.0,358.0,-9.0,0
-6.0,352.0,-9.0,0
-6.0,346.0,-9.0,0
-6.0,340.0,-9.0,0
-6.0,334.0,-9.0,0
-6.0,328.0,-9.0,0
-6.0,322.0,-9.0,0
-6.0,316.0,-9.0,0
-6.0,310.0,-9.0,0
-6.0,304.0,-9.0,0
-6.0,298.0,-9.0,0
-6.0,292.0,-9.0,0
-6.0,286.0,-9.0,0
-6.0,280.0,-9.0,0
-6.0,274.0,-9.0,0
-6.0,268.0,-9.0,0
-6.0,262.0,-9.0,0
-6.0,256.0,-9.0,0
-6.0,250.0,-9.0,0
-6.0,244.0,-9.0,0
-6.0,238.0,-9.0,0
-6.0,232.0,-9.0,0
-6.0,226.0,-9.0,0
-6.0,220.0,-9.0,0
-6.0,214.0,-9.0,0
-6.0,208.0,-9.0,0
-6.0,202.0,-9.0,0
-6.0,196.0,-9.0,0
-6.0,190.0,-9.0,0
-6.0,184.0,-9.0,0
-6.0,178.0,-9.0,0
-6.0,172.0,-9.0,0
-6.0,166.0,-9.0,0
-6.0,160.0,-9.0,0
-6.0,154.0,-9.0,0
-6.0,148.0,-9.0,0
-6.0,142.0,-9.0,0
-6.0,136.0,-9.0,0
-6.0,130.0,-9.0,2
-6.0,124.0,-9.0,2
